,questions_ru
209,"Дистрибьюторы нефти из Молдовы готовы покупать по 60 баррелей в день, когда р = доллару за баррель. Официальные лица республики готовы поставлять (р^2/10) баррелей в день. i) Какова равновесная цена на нефть? ii) Сколько баррелей будет продано по равновесной цене?"
210,Располагаемый доход мисс Эдвардс (то есть ее доход после уплаты налогов) вырос с 19 000 до 20 000 долларов. Ее расходы выросли с 15 200 до 15 950 долларов. 1) Какова ее предельная склонность к потреблению? 2) Какова ее предельная склонность к сбережениям?
211,"Стив Кинг покупает на распродаже брюки по цене 33,15 доллара за две пары, налог с продаж составляет 5,5%. Сколько он платит за четыре пары брюк?"
212,"Сколько процентов Пол заплатил по своему кредиту в размере 1285 долларов США на 2 (1/2) года, учитывая, что процентная ставка составляла 5 (1/2) %?"
213,"Пластинка продается по цене 3,24 доллара. Наценка составляет 35% от продажной цены. Найдите стоимость пластинки."
214,"Консервная компания приобрела оборудование стоимостью 15 000 долларов США для своей овощеводческой фермы. Ожидается, что срок службы оборудования составит шесть лет, после чего остаточная стоимость не будет установлена. Компания желает использовать максимальный процент, допустимый в соответствии с методом уменьшения остатка, для расчета амортизации. Найдите величину амортизации и балансовую стоимость за первые три года эксплуатации."
215,"Автомобиль, который четыре года назад стоил 3000 долларов, теперь стоит 1000 долларов. Какова средняя годовая амортизация?"
216,"Рассматриваются варианты прокладки двух линий электропередач. Протяженность трассы А составляет 15 миль, она проходит вокруг озера. Строительство каждой мили обойдется в 6000 долларов, а обслуживание - в 2000 долларов в год. По истечении пятнадцати лет стоимость каждой мили будет составлять 3000 долларов. Маршрут В - это подводная линия протяженностью 5 миль через озеро. Стоимость строительства составит 31 000 долларов за милю, а ежегодные расходы на техническое обслуживание - 400 долларов за милю. Стоимость восстановления по истечении пятнадцати лет составит 6000 долларов за милю. Предполагая, что процентные ставки составляют 8%, а налоги - 3% от стоимости строительства каждой линии электропередачи, сравните годовые затраты на маршрут А и маршрут В за первый год."
217,Общая стоимость производства x камер равна C(x) = 2 + x ^ 3. Какова средняя стоимость изготовления 10 камер? Какова предельная стоимость производства 10 камер?
218,"17 октября Томас Лонг приобрел две облигации стоимостью 1000 долларов с выплатой 6% годовых 1 января и 1 июля по цене 98. Найдите его общую стоимость и чистую выручку продавцу. Предположим, что брокерское вознаграждение составляет 5 долларов за облигацию."
219,"На обувной фабрике постоянные затраты составляют 1200 долларов в день, а переменные - 1,50 доллара на обувь. Найдите линейную функцию затрат для представления ежедневных затрат."
220,"Общие постоянные затраты компании Danbury Hat составляют 10 500 долларов. Они производят летние шляпы по цене 1,50 доллара за штуку. Они продают шляпы по 5 долларов. Какую прибыль они получат, если создадут и продадут 46 500 летних головных уборов?"
221,"Компания Dickenson приобрела ручную машину, описанную ниже; через год она может приобрести автоматическую машину такой же производительности и продать первую машину за 1600 долларов. Доступны следующие данные: Ручная машина-автомат Покупная цена $4400 $6200 Ожидаемый срок полезного использования 5 лет 4 года Ожидаемая стоимость утилизации $0 $0 Ежегодные эксплуатационные расходы $2600 $800 Текущая процентная ставка составляет 8%. Какой из следующих вариантов следует выбрать компании? Вариант А - Сохранить ручную машину на 5 лет. Вариант Б - Сохранить ручную машину на 1 год, продать ее и приобрести автоматическую машину для использования в течение 4 лет. Округлите все расчеты до ближайшего доллара."
222,"Аналитики Finch установили новый компьютерный терминал в своих главных офисах. Было подсчитано, что средняя стоимость ремонта составит 50 долларов за ремонт, и если терминал будет эксплуатироваться в течение t лет, количество поломок составит около t^ 4/3. Если стоимость замены терминала составляет 250 долларов, то когда аналитики Finch должны приобрести новый терминал?"
223,Налог в размере 800 долларов США взимается с недвижимости оценочной стоимостью 20 000 долларов США. Если налоговая ставка будет увеличена на 1%. какова будет новая налоговая стоимость?
224,Ян Карпов удержал 60-дневный вексель на сумму 4200 долларов с процентами в размере 5%. Этот вексель был дисконтирован за 25 дней до погашения под 6%. Найдите выручку.
225,Сервисная станция Херби купила водяной насос у его поставщика по прейскурантной цене в 40 долларов. Его торговая скидка составляет 16 долларов. Найдите чистую цену.
226,"Необходимо изготовить цилиндрический контейнер объемом 10 кубических футов. Верх и низ контейнера должны быть изготовлены из материала стоимостью 2 доллара за квадратный фут, а боковые стенки контейнера - из материала стоимостью 1,50 доллара за квадратный фут. Найдите размеры, которые позволят свести к минимуму общую стоимость контейнера."
227,"Миссис Брэкен - вдова, которая содержит дом для себя, своего отца, находящегося на иждивении, и двоих своих детей. (а) На какой статус регистрации она должна претендовать? (б) Сколько исключений ей разрешено?"
228,"Опишите процедуру, которая может быть использована для определения коэффициента оборачиваемости запасов."
229,"Фрэнк Бергер владеет магазином красок и обоев. Клиент хочет оклеить обоями комнату длиной 24 фута, шириной 18 футов и высотой 9 футов. В ней есть окно размером 3 на 8 футов и дверь размером 4 на 9 футов. Учитывая 10% отходов бумаги, сколько потребуется отдельных рулонов бумаги (36 квадратных футов бумаги в одном рулоне)?"
230,"Текущие активы Jefferson's Clothing составляют 150 000 долларов, текущие обязательства - 50 000 долларов, а капитал - 200 000 долларов. Каково их текущее состояние?"
231,10 октября 1976 года мистер Файрстоун подписал 90-дневный вексель для кредитной компании Ace на сумму 1250 долларов. 15 ноября 1976 года банк снизил стоимость векселя до 6(1/2)%. Каковы были эти доходы?
232,"В веломагазине Нельсона на 1 января запасы составляли 30 156 долларов. В течение месяца было приобретено новых товаров на общую сумму 28 300 долларов, а объем продаж составил 72 600 долларов. Если наценка на продажи составила 45%, оцените итоговый объем запасов."
233,"Размер тиража - это стоимость размещения одной строки в agate для одного миллиона читателей. Каков размер тиража для газеты Y, тираж которой составляет 878 000 экземпляров и стоимость которой составляет 1,70 доллара за строку?"
234,"_____ регулирование выходит за рамки отношений организаций гражданского общества с предприятиями, поскольку оно также касается таких процессов."
235,"Обеспечение конфиденциальности является сложным, как корпорации несколько __________, как есть несколько четких барьеров для определения их пределов, трудно _________ с учетом количества лиц, вовлеченных и многое корпоративная деятельность осуществляется в ________."
236,"По данным Митчелл и др (1997) ______, воспринимаемая способность заинтересованных сторон влияния организационных действий, ________ может ли организация воспринимает заинтересованных действия как желательное, правильное и надлежащие и ________, непосредственность внимания заинтересованных сторон требует, определить заинтересованных лиц ________."
237,"_______ и ________ являются примерами теорий, основанных на _______, которые основаны на основных универсальных принципах правильного и неправильного."
238," _____________является важным элементом процесса коммуникации. В нем признается, что успешная коммуникация с большей вероятностью будет достигнута, если источник и получатель понимают друг друга."
239," Дисбаланс между фактическим и желаемым состоянием потребителя, при котором осознается необходимость устранения пробела или проблемы, называется:"
240," Именно здесь производство, закупка и потребление могут происходить в разные моменты времени."
241,"Эта политика в области брендинга требует, чтобы все продукты использовали название организации, полностью или частично, например, Microsoft, Heinz и Kellogg's."
242," На этапе внедрения __________ инновация впервые опробуется на практике. Рекламные акции часто используются в качестве образцов, чтобы люди могли протестировать продукт без какого-либо неоправданного риска. Отдельные лица принимают или отвергают то или иное нововведение на основе своего опыта участия в испытаниях."
243,"Как бы вы описали рабочую группу, состоящую из сотрудников с четко разграниченными задачами и удаленных линейных менеджеров?"
244,Кого из авторов интересовала реакция рабочих на ключевые характеристики бюрократии?
245,"Если в этом году по акции выплачиваются дивиденды в размере 5 долларов, а дивиденды ежегодно растут на 6%, какова будет внутренняя стоимость акции, если предположить, что требуемая норма доходности составляет 12%?"
246,"Мисс Фогг планирует кругосветное путешествие, на которое она планирует потратить 10 000 долларов. Полезность от поездки зависит от того, сколько она на самом деле потратит на нее (Y), и определяется как U(Y) = ln Y. Если существует 25-процентная вероятность того, что мисс Фогг потеряет во время поездки 1000 долларов из своих наличных, какова ожидаемая полезность поездки?"
247,"Предположим, нам предоставлена следующая информация. Используйте эту информацию для расчета аномальной доходности. Rf: 4%
Rm: 12%
Бета-версия портфеля: 1,8
Начальная стоимость портфеля: 50 000 долларов США
Конечная стоимость портфеля: 60 000 долларов США
Что такое ненормальная отдача?"
248,"Доходность акций составляет 2,45% в 2018 году, 5,42% в 2019 году, -13,83% в 2020 году. Какова совокупная годовая ставка (от -1 до 1) доходности за три года."
249,"Предположим, что в отрасли с идеальной конкуренцией работают 100 одинаковых фирм. У каждой фирмы есть функция общих затрат в краткосрочном периоде вида C(q) = \frac{1}{300}q ^ 3 + 0,2q ^ 2 + 4q + 10. Предположим, что рыночный спрос определяется соотношением Q = -200 пенсов + 8000. Какой будет равновесная цена в краткосрочной перспективе?"
250,"Мистер Сэмюэлс приобрел 50 акций, когда цена круглого лота составляла 146(1/8). Разница в цене нечетного лота при продаже составляет 1/4 пункта. Используя приведенную ниже таблицу брокерских ставок, рассчитайте комиссию при продаже. БРОКЕРСКИЕ СТАВКИ ПО НЕЧЕТНЫМ ЛОТАМ Комиссия ЗА покупку от $100 до $799 2,0% плюс $4,40 до $65 от $800 до $2499 1,3% плюс $10 до $65 от $2500 и выше .9% плюс $20 до $65"
251,"Майк продал автомобиль, который обошелся ему в 12 640 долларов, за 11 628,80 долларов. Какова процентная доля продажной цены от себестоимости?"
252,"3 января мистер Тоттени застраховал свой магазин от пожара на сумму 350 000 долларов по цене 95 долларов за 100 долларов, а также содержимое магазина на сумму 500 000 долларов по цене 86 долларов за 100 долларов. 6 июля он отменил полис. Сколько ему вернули?"
253,"Согласно правилам ""Правды в кредитовании"", какую годовую процентную ставку должен указать розничный продавец в договоре купли-продажи, если он начисляет 1 (1/2)% годовых на неоплаченный остаток средств на счете каждого клиента?"
254,"Компания Pinson, занимающаяся оптовой продажей скобяных изделий, проводит инвентаризацию всех имеющихся в наличии товаров на конец года. Среди товаров, подлежащих учету, - стальные болты. По состоянию на 31 декабря в наличии было 44 000 таких болтов. В отчетах о закупках и инвентаризации содержится следующая информация: Стоимость количества на 1 кв.м на 1 января (начало инвентаризации) составляет 27 000 6,00 долларов США, 12 марта - 50 000 6,50 долларов США, 11 сентября - 35 000 7,00 долларов США, 3 декабря - 40 0007,50 долларов США. Найдите стоимость запасов на 31 декабря с помощью (а) метода средней себестоимости, (б) метода средней себестоимости.) методом FIFO и (c) методом LIFO."
255,Компания Family Games Wholesalers предлагает пинбольный автомат Captain Marvel по прейскуранту в 900 долларов со скидкой 25%. Какова чистая цена пинбольного автомата?
256,"Транспортная компания ABC взимает плату в размере 0,084 доллара за фунт при перевозке оборудования из Нью-Йорка в Олбани. Сколько они возьмут за доставку стиральной машины весом 275 фунтов?"
257,Недавно производственная компания Adams понесла убытки в размере 45 000 долларов в результате пожара. Их страховка была распределена между двумя страховыми компаниями следующим образом: Название компании Сумма полиса Acme Insurance $50 000 Safe Way Insurance $30 000 Какую часть убытка каждая из страховых компаний выплатила Адамсу?
258,"Дом, оцененный в 10 000 долларов и застрахованный на 7 000 долларов с 80%-ной оговоркой о совместном страховании, пострадал в результате пожара на сумму 8 500 долларов. Какую сумму выплатит страховая компания в связи с ущербом? Какую часть убытков должен понести владелец?"
259,"В прошлом году мистер Дональд получил дивиденды от своих акций в размере 48, 64, 82,50 и 90 долларов. Если его общая сумма инвестиций составила 12 450 долларов, какова была норма прибыли от инвестиций мистера Дональда за год? Дайте ответ с точностью до (1/10)%."
260,"Мисс Файнер владеет двумя домами в городе, где налоговая ставка составляет 43,72 доллара за 1000 долларов. Их рыночная стоимость составляет 17 000 и 25 000 долларов соответственно. Если дома облагаются налогом по ставке 75%, то какой налог на недвижимость платит мисс Файнер?"
261,Джек продает подписки на журналы от дома к дому после школы. С каждой проданной подписки он получает комиссионные в размере 85 центов. На прошлой неделе он продал 17 подписок. Какова была сумма его комиссионных?
262,"Мистер Джексон занял в своем банке 150 долларов. Кредит должен быть выплачен в течение 90 дней, а процентная ставка по нему составляет 6%. Найдите сумму, подлежащую выплате по истечении 90 дней."
263,Предполагаемая стоимость недвижимости в городе Буксвилле составляет 50 600 000 долларов США.Буксвилль требует уплаты налогов на недвижимость в размере 4 500 000 долларов США. Какова ставка налога? За 100 долларов? За 1000 долларов? (С точностью до 5 знаков после запятой).
264,"Найдите наценку в долларах на розничные товары стоимостью 230 000 долларов, если их стоимость составляет 70% от этой цены продажи."
265,"Джексон и компания покупают электрические одеяла по 18,75 долларов КАЖДОЕ. Они хотят получить скидку в размере 40% от стоимости. Найдите их отпускную цену."
266,"Стереосистему стоимостью 895 долларов за наличный расчет можно приобрести в рассрочку со скидкой 15% и 30 ежемесячными платежами в размере 29,42 доллара. Какова стоимость финансирования в рассрочку?"
267,Компания Quinones Bros. работает в бизнесе уже четыре года. Руководство оценило валовую годовую прибыль через t лет в 10 тыс. долларов (10т^2 + t + 236). Каков был годовой темп роста прибыли через четыре года? Каковы были темпы роста прибыли за четыре года в процентном отношении?
268,"Y получает 380 долларов в месяц. W получает 55 долларов в день и работает четыре дня в неделю. U получает 480,00 долларов в месяц, а зарплата раз в две недели составляет 515 долларов. Все они получают зарплату за 52 недели обучения. а) Какова годовая зарплата каждого из них? б) Сколько зарабатывает каждый студент в неделю?"
269,"Каков налог с магазина с оценочной стоимостью в 6 640 долларов, если ставка налога составляет 3,87 доллара за 100 долларов и добавляется дополнительный сбор в размере 2% от налога в качестве комиссионного сбора?"
270,"Найдите стоимость каждого заказа. (а) 346 бокалов по 50 центов за штуку (б) 870 гвоздей по 3 (1/2) цента за штуку (в) 125 цепочек по 16,48 долларов КАЖДАЯ."
271,"Найдите общий объем продаж на заправочной станции, если автомобилист купит 13 (6/10) галлонов бензина по цене 539 долларов за галлон и 2 литра масла по 1,10 доллара за литр."
272,"Мистер Бэнкрофт второй Национальный Банк утвердил сегодня 3 кредитов. Первая-ср. ""Атлас"" за $1,800 под 6% сроком на 60 дней. Второй - мистеру Джонсону на 2400 долларов под 5% годовых сроком на 3 года. Третий - мистеру Брейкману на 7000 долларов под 6 (1/2)% годовых сроком на 4 года. Сколько процентов должен будет выплатить каждый из них?"
273,"Пианино стоимостью 1250 долларов США плюс налог в размере 4(1/2)% было приобретено в рассрочку с первоначальным взносом в размере 10% от стоимости наличными, с возможностью оплаты остатка в течение 18 месяцев. Если к неоплаченной сумме добавить плату за обслуживание в размере 12%, то каков будет ежемесячный платеж? Какова общая стоимость пианино?"
274,"Во время недавней деловой поездки Мэй К. Карлайл потратила следующие суммы: гостиница - 63 доллара; питание - 42,90 доллара; прачечная - 3,75 доллара; чаевые - 9,50 доллара; такси - 7,85 доллара; телефон - 11,30 доллара; развлечения для клиентов - 36,60 доллара; и расходные материалы - 4,30 доллара. Если мисс Карлайл начинала с 300 долларов и платила наличными, пока ее не было, сколько у нее оставалось?"
275,"Какова эффективная доходность облигации стоимостью 1000 долларов со сроком погашения через год, купленной за 960 долларов, если номинальная годовая процентная ставка по ней составляет 6%? Укажите ближайший (1/10) процент."
276,"Норман Стивенс живет в городе, где 28% налога на недвижимость выплачивается правительству округа. Мистер Стивенс владеет домом, стоимость которого была оценена в 17 400 долларов. Если городская налоговая ставка составляет 24,90 доллара за 1000 долларов, то какая часть его налога была передана правительству округа?"
277,Стереосистема продается за 200 долларов. Стоимость в магазине составляет 120 долларов. Найдите наценку в долларах.
278,"10 апреля компания Friedman Brothers приняла срочный драфт сроком на 60 дней за 562,50 доллара. 15 апреля он был продан со скидкой 6%, ознакомьтесь с выручкой."
279,"Продавцы ежегодного альманаха получают комиссию в размере 10% от всех продаж свыше 2500 долларов и зарплату в размере 300 долларов в месяц. Каков был бы доход продавца, если бы его общий объем продаж за один месяц составил 5070,20 долларов?"
280,"Завод может изготовить 699 единиц автомобильных подвесок типа I за час (на новом станке) при средней стоимости 1,20 доллара за единицу. На станке также можно изготавливать распорки типа Y (30 штук в час) по цене 1,30 доллара за единицу. Бюджет каждого 24-часового производственного дня составляет 4005 долларов. Завод стремится производить как можно больше стоек типа Y, но имеет квоту в 2700 стоек типа I в день. (i) Сколько стоек типа Y производится ежедневно? (ii) Достаточен ли бюджет завода?"
281,"Мистер Луис в настоящее время рассматривает возможность покупки новой лодки, чтобы катать туристов. У него есть два варианта: лодка А стоит 10 000 долларов и расходует топлива на 2000 долларов в год. Лодка В стоит 7000 долларов, а расходуется 2500 долларов. Стоимость обеих лодок по истечении 10 лет будет равна нулю. Если Ур. Луис считает приемлемой норму прибыли в 6%, (а) какую лодку ему следует приобрести? (б) сколько он будет брать с каждого туриста, если на поездку приглашено 3 туриста, а мистер Луис планирует совершать 125 поездок в год?"
282,Как называется разница между активами и пассивами?
283,"На прошлой неделе Базз Райнхаус отработал 63 часа. Ему платили полторы ставки за 15 часов и двойную - за 9 часов. Его обычная ставка составляла 2,60 доллара в час. Подсчитайте общий заработок Базза за неделю."
284,"J. S.Bacq& Co. управляет ""penny arcade"" со следующими фиксированными расходами: Заработная плата и электричество - 500 долларов в неделю, содержание и прочие расходы - 100 долларов в неделю. В качестве поощрения за продажи Аркада дарит каждому клиенту подарок-сюрприз. Каждый подарок обходится заведению в 2,00 доллара. Входная плата в игровом зале составляет 6,00 долларов. Руководство хочет получать прибыль в размере 1000 долларов в неделю. Сколько человек должно еженедельно посещать игровое заведение, чтобы получать такую прибыль?"
285,"В начале 19Х1 финансового года дебиторская задолженность компании X составляла 28 000 долларов США. На конец финансового года она составляла 32 000 долларов США. Дебиторская задолженность. Объем продаж в 19Х1 финансовом году составил 850 000 долларов США. На конец 19Х2 финансового года дебиторская задолженность составляла 35 000 долларов США. Объем продаж в 19Х2 финансовом году составил 920 000 долларов США. Используя 360-дневный год и учитывая, что желаемая норма доходности компании X составляет 10%, (а) найдите средний период получения кредита (в днях) за 19Х1 и 19Х2 года (б) найдите затраты (или экономию) при продлении (или сокращении) срока кредитования в течение двух периодов."
286,"Оптовики Ringlet сделали скидку на свою старую линейку столовых сервизов в размере 30% и 10% соответственно. Если предлагаемая скидка составляла 248,40 долларов, какова была цена по прейскуранту и чистая цена каждого набора?"
287,"____________ относится к стратегическому процессу, включающему оценку заинтересованных сторон для создания долгосрочных отношений с клиентами при одновременном сохранении, поддержке и улучшении состояния окружающей среды."
288,"Предприятия _____ в обществе и имеют потенциал, чтобы обеспечить ____ в обществе, а ____ есть потенциал, чтобы нанести огромный ущерб отдельным лицам, сообществам и окружающей среде."
289,"Сосредоточенность на проблемах, целевая аудитория, выходящая за рамки акционеров, и добровольный характер ___________ отличают его от _________."
290,"Какое из перечисленных ниже названий соответствует купону, который входит в комплект поставки для последующей покупки?"
291,Услуги характеризуются пятью различными характеристиками. Это:
292,Что такое нормативная перспектива?
293,"Чем не предположение, лежащее в основе рациональной модели принятия решений?"
294,Какой тип организационной культуры с наибольшей вероятностью обеспечит стабильность и эффективность?
295,"По оценкам Lore Ltd., ее дивиденды будут расти на уровне 13% в год в течение следующих пяти лет. Затем они выйдут на устойчивый, постоянный уровень в 5%. Предположим, что дивиденды за текущий год составляют 14 долларов, а требуемая норма прибыли (или ставка дисконтирования) - 12%. Какова текущая справедливая стоимость акций Lore Ltd.?"
296,"Предположим, что на рынке есть две фирмы, не сталкивающиеся с издержками производства, и кривая спроса на их идентичные товары задана как Q = 150 - P. Предположим, что две фирмы выбирают цены одновременно, как в модели Бертрана. Вычислите цены в равновесии Нэша."
297,"Оцените коэффициент привязки для фирмы, которая обладает следующими характеристиками:
Продолжительность активного роста = пять лет
Темпы роста в первые пять лет = 25%
Коэффициент выплат в первые пять лет = 20%
Темпы роста через пять лет = 8%
Коэффициент выплат через пять лет = 50%
Бета = 1,0 
Безрисковая ставка = процентная ставка по облигациям = 6%
Стоимость собственного капитала = 6% + 1(5.5%) = 11.5%
Премия за риск = 5,5%
Каков предполагаемый коэффициент привязки для этой фирмы?"
298,"Три года назад Фред инвестировал 10 000 долларов в акции ABC Corp. Каждый год компания выплачивала дивиденды своим акционерам. Каждый год Фред получал 100 долларов в виде дивидендов. Обратите внимание, что, поскольку Фред ежегодно получал дивиденды в размере 100 долларов, его общий доход составляет 300 долларов. Сегодня Фред продал свои акции за 12 000 долларов. Каков срок окупаемости его инвестиций?"
299,"Рассмотрим две 5-летние облигации: одна имеет 9%-ный купон и продается по цене 101,00; другая имеет 7%-ный купон и продается по цене 93,20. Какова цена 5-летней облигации с нулевым купоном."
300,"Мистер Джозеф Майлз и мистер Гэри Роуз являются партнерами в производственной компании. Мистер Майлз получает зарплату в размере 600 долларов в месяц, а остальная часть прибыли делится поровну. В течение первого года их работы прибыль составила 6000 долларов. Сколько получил каждый из них?"
301,"Какова чистая сумма, полученная от 4500,00 долларов США, последовательно дисконтированных на 20%, 15% и 2 (1/2)%?"
302,"Если цена часов по прейскуранту составляет 300 долларов, а чистая цена - 174 доллара, какой процент скидки предлагается?"
303,"Универмаг распределяет свои накладные расходы на основе прямых затрат на рабочую силу. Если накладные расходы за один месяц составили 4200 долларов, а прямые затраты на оплату труда в универмаге - 35 000 долларов, найдите (а), какой процент накладных расходов приходится на прямые затраты на оплату труда, и (б) стоимость накладных расходов в отделе товаров для дома, где затраты на оплату труда составляют 5340 долларов."
304,"Мистер Джозефсон положил 200 долларов на сберегательный счет, на который раз в полгода начисляется 4% годовых. Найдите текущую стоимость его счета через 2 года."
305,"Ежегодный доход в виде дивидендов от инвестиций составил 900 долларов. Учитывая, что годовой доход составлял 6 процентов, сколько было инвестировано?"
306,"На 1 марта у Edward's Electronics были запасы на сумму 42 000 долларов, а на 31 марта запланированы запасы на сумму 36 000 долларов. Магазин планирует, что продажи в течение месяца составят 22 000 долларов, с учетом запланированных дополнительных скидок на 2000 долларов. Магазин уже выделил 6000 долларов на закупку товаров в течение месяца. Какие цены открыты для покупок в магазине?"
307,"Фрэнк Ли и Стив Барнс - партнеры. Барнс получает еженедельную зарплату в размере 300 долларов и 1/3 от оставшегося чистого дохода. Остальные 2/3 от оставшегося дохода получает Ли. Если прибыль составляет 28 269 долларов, сколько получает каждый партнер?"
308,"Мэтьюз и Грин являются партнерами в магазине деликатесов. Они договорились, что Мэтьюз должен получать 60% прибыли или убытков, а Грин - 40%. Если прибыль за год составила 10 200 долларов, какова была доля каждого партнера?"
309,"Флоренс Лессон работает продавщицей. Она ездит к клиентам на собственном автомобиле. Компания выплачивает ей 10 центов за каждую милю, которую она проезжает, а также оплачивает парковку и дорожные сборы. За прошедший год мисс Лессон проехала 11 472 мили, и ее расходы на парковку и. дорожные сборы составили 787,44 долларов. Найдите (а) затраты компании на автомобильные расходы мисс Лессон и (б) средние затраты компании за месяц."
