,questions_ru
50,"Владелец заключил письменный контракт с ландшафтным дизайнером, согласно которому тот обещал привести в порядок фасад дома владельца за сумму в 5000 долларов. Согласно их соглашению, владелец должен был выплатить деньги сыну ландшафтного дизайнера. Ландшафтный дизайнер намеревался передать 5000 долларов своему сыну в качестве подарка на окончание учебы. После того, как ландшафтный дизайнер завершил работу, он потребовал, чтобы владелец заплатил 5000 долларов ему, а не его сыну. Владелец заплатил ландшафтному дизайнеру. На следующий день сын узнал о заключении контракта между ландшафтным дизайнером и владельцем, а также о выплате его отцу. В иске сына против владельца на сумму 5000 долларов истец, скорее всего, будет"
51,"Владелец заключил письменный контракт с ландшафтным дизайнером, согласно которому тот обещал привести в порядок фасад дома владельца за сумму в 5000 долларов. Согласно их соглашению, владелец должен был выплатить деньги сыну ландшафтного дизайнера. Ландшафтный дизайнер намеревался передать 5000 долларов своему сыну в качестве подарка на окончание учебы. После того, как ландшафтный дизайнер завершил работу, он потребовал, чтобы владелец заплатил 5000 долларов ему, а не его сыну. Владелец заплатил ландшафтному дизайнеру. На следующий день сын узнал о заключении контракта между ландшафтным дизайнером и владельцем, а также о выплате его отцу. В иске сына против владельца на сумму 5000 долларов истец, скорее всего, будет"
52,"В 1981 году, преданный защитник природы, был владельцем участка неосвоенной земли площадью 100 акров. В том же году защитник природы передал участок ""моему племяннику в fee simple при условии, однако, что получатель гранта согласится с тем, что ни он, ни его наследники или правопреемники никогда не будут использовать собственность в каких-либо коммерческих целях. Если какая-либо часть указанного участка используется не для жилых целей, то лицо, предоставляющее право, или его правопреемники по интересам могут вновь вступить во владение имуществом, принадлежащим лицу, предоставляющему право. "" Это соглашение было оформлено надлежащим образом. Племянник умер в 1999 году, не оставив завещания, и его пережила жена. Защитник природы умер в 2002 году, и у него остались две дочери, его единственные наследницы. В период с 1981 по 2007 год участок начал активно застраиваться из близлежащего города. Хотя участок еще не был застроен, он был окружен офисными зданиями, торговыми центрами и другими коммерческими сооружениями. В 2009 году жена оформила и передала застройщику документ о платной передаче участка, который застройщик немедленно зарегистрировал. В акте не содержалось никаких ссылок на упомянутое выше ограничение. После того, как застройщик приобрел право собственности на участок, он начал строительство гостиничного комплекса на участке, граничащем с многоквартирным домом. Применимый закон о регистрации, действующий в этой юрисдикции, в частности, предусматривает, что ""Никакой акт или другой документ в письменной форме, не зарегистрированный в соответствии с настоящим законом, не должен влиять на титул или права на любую недвижимость, а также на любого добросовестного приобретателя или девелопера, не зная о существовании такого документа"". незарегистрированные инструменты. ""Если одна из дочерей подаст иск с требованием запретить застройщику строительство отеля, истец, скорее всего,"
53,"Штат построил казино и выпустил облигации для финансирования его строительства. В пяти случаях в различных казино штата имели место случаи насилия. Полиция штата объяснила насилие жадностью и страхом в казино. Чтобы предотвратить такое насилие, законодательное собрание штата приняло закон, запрещающий все азартные игры в частных казино на территории штата. Можно ли считать этот закон конституционным, если большинство казино в штате принадлежат иностранцам?"
54,"В штате было построено казино и выпущены облигации для финансирования его строительства. В пяти случаях в различных казино штата имели место эпизоды насилия. Полиция штата объяснила насилие жадностью и страхом в казино. Чтобы предотвратить такое насилие, законодательное собрание штата приняло закон, запрещающий все азартные игры в частных казино на территории штата. Можно ли считать этот закон конституционным, если большинство казино в штате принадлежат иностранцам?"
55,"Из-за внезапной и непредвиденной острой нехватки топлива для отопления Президент распорядился, чтобы все учреждения федеральных органов исполнительной власти работали только четыре дня в неделю. Указ Президента допускает исключение в той мере, в какой чрезвычайные обстоятельства требуют разных часов работы (как в случае с федеральными больницами). Когда Конгресс принял закон об ассигнованиях на деятельность всех федеральных органов исполнительной власти, его члены предполагали, что офисы этих ведомств будут открыты пять дней в неделю, но Конгресс не включил такое требование ни в свой закон об ассигнованиях, ни в какой-либо другой закон. Является ли указ президента конституционным?"
56,"Из-за внезапной и непредвиденной острой нехватки топлива для отопления Президент распорядился, чтобы все учреждения федеральных органов исполнительной власти работали только четыре дня в неделю. Указ Президента допускает исключение в той мере, в какой чрезвычайные обстоятельства требуют разных часов работы (как в случае с федеральными больницами). Когда Конгресс принял закон об ассигнованиях на деятельность всех федеральных органов исполнительной власти, его члены предполагали, что офисы этих ведомств будут открыты пять дней в неделю, но Конгресс не включил такое требование ни в свой закон об ассигнованиях, ни в какой-либо другой закон. Является ли указ президента конституционным?"
57,"Владелец крупного семейного поместья решил продать недвижимость. Владелец заключил действующее письменное соглашение о посредничестве с брокером по недвижимости. Согласно условиям соглашения, брокер обещал приложить все усилия, чтобы продать недвижимость по цене покупки не менее 1 250 000 долларов. В контракте также предусматривалось, что брокеру будет выплачена комиссия в размере 5% от общей продажной цены после завершения сделки купли-продажи и передачи права собственности. Брокерское соглашение действовало в течение двух месяцев. Месяц спустя брокер уведомил владелицу о том, что она нашла покупателя, который хотел бы приобрести недвижимость за 1 500 000 долларов. В тот же день брокер вручил владельцу подписанный покупателем договор купли-продажи недвижимости, в котором покупатель согласился заплатить 1 500 000 долларов за покупку недвижимости. Владелец навел справки о покупателе и обнаружил, что у него достаточно средств для покупки недвижимости. Однако владелец передумал и решил не продавать недвижимость. Он сказал брокеру, что не будет подписывать соглашение. Кроме того, владелец сообщил брокеру, что расторгает их брокерское соглашение, поскольку выводит недвижимость с рынка. Владелец также отказался выплачивать брокеру какие-либо комиссионные. Если брокер теперь подаст в суд на владельца за нарушение условий договора, что из перечисленного является надлежащей мерой возмещения ущерба для брокера?"
58,"Житель престижного жилого района является морским биологом. Чтобы помочь ему в изучении акул, он построил на заднем дворе большой аквариум, в который поместил большую белую акулу. Помимо запаха, исходившего от аквариума, некоторые соседи были обеспокоены и боялись выпускать своих детей на улицу, опасаясь, что они могут забрести на территорию местного жителя. Чтобы убедить своих соседей, что им нечего бояться, местный житель пригласил их посмотреть аквариум с акулами. Пока сосед стоял возле аквариума, акула плеснула хвостом, и сосед сильно промок. У соседа, который был простужен, развился бронхит. Если соседка подаст в суд на жителя за ущерб, причиненный в результате того, что его замочила акула, и будет основывать свой иск на строгой ответственности, она, скорее всего,"
59,"Владелец магазина, проживающий в штате А, подал иск на дистрибьютора в федеральный окружной суд штата А за нарушение контракта. Владелец магазина потребовал возмещения ущерба в размере 100 000 долларов США за якобы дефектные товары, которые дистрибьютор предоставил в соответствии с контрактом. Дистрибьютор зарегистрирован в штате В, а его основное коммерческое предприятие находится в штате С. Дистрибьютор привлек в качестве третьей стороны в качестве ответчика оптовика, который предоставил товар дистрибьютору, утверждая, что оптовик обязан возместить дистрибьютору любой ущерб, возмещенный владельцем магазина. Оптовый торговец зарегистрирован в штате В, а его основное коммерческое предприятие находится в штате А. Оптовик предъявил дистрибьютору встречный иск на сумму 60 000 долларов США об оплате спорных товаров, и дистрибьютор решил отклонить встречный иск из-за отсутствия соответствующей юрисдикции. Следует ли удовлетворить ходатайство об отклонении?"
60,"Владелец магазина, проживающий в штате А, подал в федеральный окружной суд штата А иск против дистрибьютора за нарушение контракта. Владелец магазина потребовал возмещения ущерба в размере 100 000 долларов США за якобы дефектные товары, которые дистрибьютор предоставил в соответствии с контрактом. Дистрибьютор зарегистрирован в штате В, а его основное коммерческое предприятие находится в штате С. Дистрибьютор привлек в качестве третьей стороны в качестве ответчика оптовика, который предоставил товар дистрибьютору, утверждая, что оптовик обязан возместить дистрибьютору любой ущерб, возмещенный владельцем магазина. Оптовый торговец зарегистрирован в штате В, а его основное коммерческое предприятие находится в штате А. Оптовик предъявил дистрибьютору встречный иск на сумму 60 000 долларов США об оплате спорных товаров, и дистрибьютор решил отклонить встречный иск из-за отсутствия соответствующей юрисдикции. Следует ли удовлетворить ходатайство об отклонении?"
61,"Однажды поздно вечером женщина отправилась в ближайший супермаркет. Она припарковалась на стоянке магазина, и, когда они шли к зданию, двое мужчин в масках напали на нее и изнасиловали. Стоянка была плохо освещена, на ней не было охраны, и ее часто посещали члены банды. За последние 12 месяцев полиция получила несколько отчетов о происшествиях, в которых были зафиксированы предыдущие преступные действия, в том числе несколько ограблений и нападений на людей на стоянке. В самом магазине было даже больше отчетов, чем в полиции. Женщина подала в суд на магазин за нанесенный ей ущерб, утверждая, что он нарушил свои обязательства по обеспечению разумной безопасности помещений для своих клиентов. Добьется ли она своего?"
62,"В юрисдикции, использующей индексы правообладателя и получателя гранта, произошли следующие события в порядке, указанном ниже: (1) В 1993 году заемщик заложил ранчо ипотечной компании в обеспечение векселя на сумму 25 000 долларов США с погашением 31 декабря 1993 года под проценты 9/2 годовых. (2) В 1996 году ипотечная компания зарегистрировала ипотеку на ранчо. (3) В 2007 году в письменном виде за подписью, которое заемщик передал своей дочери, заемщик пообещал передать ранчо дочери путем расторжения договора и выплатить долг по ипотеке, когда наступит срок. (4) В 2008 году заемщик передал дочери документ о расторжении договора, в котором не содержалось никаких упоминаний об ипотеке. Если заемщик впоследствии не выплатил ипотечный кредит и ипотечная компания лично предъявила иск к дочерней компании о взыскании суммы, причитающейся по ипотечному долгу, залогодержатель, вероятно,"
63,Какие из перечисленных ниже полномочий сами по себе не могут поддержать федеральный закон?
64,"Один заядлый бейсбольный фанат узнал, что местный профессиональный бейсбольный клуб проводит бейсбольный лагерь для болельщиков, которые хотят встретиться с игроками клуба и получить инструкции от них. Стоимость двухнедельного лагеря, как сообщалось, составляла 2500 долларов, включая питание и проживание. Болельщик, 54-летний продавец, внес клубу регистрационный депозит в размере 50 долларов, который обеспечил ему место в бейсбольном лагере. После этого болельщик получил от клуба контракт, который должны были подписать все участники бейсбольного лагеря. Соглашение предусматривало, что вступительный взнос в размере 2500 долларов не подлежит возврату. Согласно соглашению, все участники будут проходить групповое обучение во время бейсбольного лагеря. Следовательно, операционные расходы клуба не сократятся, если один или несколько посетителей не смогут принять участие в двухнедельной программе или завершить ее. Болельщик подписал контракт и отправил его клубу вместе со своим вступительным взносом в размере 2500 долларов. Однако за два дня до начала бейсбольного лагеря болельщик скончался от сердечного приступа. Может ли распорядитель имущества болельщика, его оставшийся в живых брат, в порядке реституционного иска взыскать за счет имущества все или часть 2500 долларов, выплаченных клубу?"
65,"Наиболее вероятным контрактом, который будет классифицирован в соответствии с Единым коммерческим кодексом (UCC), является контракт на"
66,"Элис принадлежал Грейакр, участок земли площадью в один акр, в фи-симпл. Элис продала собственность Барбаре, которая переехала в единственное жилье на этой земле. Барбара не зарегистрировала акт купли-продажи, и три года спустя Элис передала ту же собственность Шарлин, которая немедленно оформила акт, полученный от Элис. В юрисдикции Грейакра действует закон об уведомлении о скачках и система индексации участков. Если будет подан иск о праве собственности на недвижимость, то вероятный исход будет для"
67,"Президент и единственный акционер малого предприятия вели переговоры о продаже бизнеса частному инвестору. Стороны встретились и подписали ""Письменное соглашение"", в котором были указаны цена, сумма первоначального взноса, условия финансирования, активы, которые будут включены, и множество других важных деталей. Окончательная дата закрытия сделки не была указана, но покупатели оставили продавцу первоначальный взнос в размере 20 000 долларов. В письме говорилось, что условия являются их основным соглашением, но официальный документ будет подготовлен адвокатами сторон. До того, как это произошло, продавец вернул чек и отказался от исполнения обязательств. Инвестор предъявил иск о долевом участии к конкретному исполнению, чтобы принудить к продаже. Суд по долевому участию постановил, что существует полный и обязательный к исполнению контракт, который должен быть конкретно исполнен. Скорее всего, апелляционный суд подтвердит решение суда низшей инстанции?"
68,"У музыканта был летний коттедж на берегу озера. Сосед, владелец соседнего участка, начал заниматься производством песка, что потребовало от него тяжелой работы по перетаскиванию песка, камней, грунта и других материалов на свою территорию. Чрезмерные земляные работы соседа в ходе его бизнеса по вывозу песка привели к обрушению большого складского здания на территории, принадлежащей музыканту. Если музыкант подаст иск о возмещении ущерба в связи с обрушением его складского здания, музыкант, вероятно,"
69,"Автомобилистка ехала со скоростью 5 миль в час, когда отвлеклась и по неосторожности задела заднюю часть другого транспортного средства. У пассажирки столкнувшегося транспортного средства было редкое заболевание, которое делало ее крайне уязвимой для любого незначительного физического воздействия или вторжения. Из-за незначительного удара пассажирка слегка ударилась плечом о дверь, что спровоцировало проявление ее редкой иммунодепрессивной болезни. В результате удара пассажирка надолго потеряла трудоспособность. Она подала в суд на нерадивого водителя за все свои травмы. Врач представил заключение, в котором говорится, что столкновение стало существенным фактором, приведшим к потере трудоспособности. Предъявлял ли истец требование о возмещении ущерба в соответствии с действующими правовыми принципами?"
70,"15 февраля компания, производящая металлические облицовки для фасадов домов, получила следующий заказ от застройщика: ""Пожалуйста, отправьте 300 листов переработанного алюминиевого сайдинга толщиной 1/4 дюйма. Поставка к 1 апреля. ""8 марта компания отгрузила 300 листов алюминиевого сайдинга толщиной 1/2 дюйма, которые были получены застройщиком 10 марта. На следующий день производитель отправил в компанию следующий факс: ""Имейте в виду, что ваша поставка отклонена. В заказе были указаны листы толщиной 1/4 дюйма. ""Этот факс был получен компанией, но производитель не отправил несоответствующие алюминиевые листы обратно в компанию. Правильно ли компания-изготовитель забраковала груз, доставленный 10 марта?"
71,"Поезд подъехал к оживленной станции. Некоторые пассажиры сошли с поезда, а другие сели в него. Несколько мгновений спустя кондуктор крикнул: ""Все на посадку!"" - это означало, что поезд вот-вот отправится со станции. В этот момент мужчина с большой картонной коробкой в руках бежал через станцию к поезду. ""Подождите меня!"" - кричал он, подбегая к поезду. Мужчина с коробкой достиг края платформы, рядом с поездом, как раз в тот момент, когда поезд тронулся. Мужчина колебался, не зная, следует ли ему сдаться или продолжить движение и запрыгнуть под поезд, даже несмотря на то, что он двигался. Железнодорожник, который случайно оказался рядом с поездом, решил помочь. Он сказал: ""Ты справишься"", - и подтолкнул мужчину к открытой двери поезда. Мужчина споткнулся и уронил коробку, которую нес. В тот же миг коробка издала громкий скрежещущий звук. В коробке был мощный фейерверк, и от удара коробки о землю загорелась большая ракета. Ракета вылетела из коробки и пролетела через вокзал, отскочив от потолка, и, наконец, врезалась в стену небольшого кафе на дальней стороне вокзала, примерно в 150 футах от поезда. В результате столкновения с ракетой упала полка на стене. Большой контейнер с кофе, стоявший на полке, упал и ударил посетительницу, которая сидела в магазине и пила кофе. Посетительница кофейни получила травму плеча в результате удара контейнера с кофе. Если посетительница кофейни подаст иск о халатности к железной дороге, какой из следующих элементов ее иска истец не сможет удовлетворить?"
72,"Покупатель выразил заинтересованность в приобретении промышленной системы кондиционирования воздуха, произведенной продавцом. Стороны устно договорились о цене системы в 100 000 долларов, но продолжали переговоры по нескольким пунктам. Когда все вопросы, касающиеся системы кондиционирования, были окончательно урегулированы, стороны подписали письменное соглашение. В нем предусматривалось, что цена системы, которая будет поставлена 1 июня, составит 110 000 долларов. Письменное соглашение, представляющее собой объемный контракт, не содержало пункта о слиянии. Продавец поставил систему 1 июня, но покупатель отказался заплатить более 100 000 долларов, сославшись на ранее достигнутую устную договоренность о цене. Продавец предъявил покупателю иск о взыскании дополнительных 10 000 долларов в соответствии с письменным соглашением. Примет ли суд к рассмотрению доказательства устной договоренности о цене в 100 000 долларов?"
73,"В штате был принят закон, запрещающий сознательную продажу, покупку или распространение табака в любой форме несовершеннолетним. Нарушение закона каралось штрафом в размере 500 долларов и тюремным заключением сроком до 30 дней. После вступления закона в силу обвиняемый продал пачку сигарет девушке, которой было 17 лет. Прежде чем продать товар девушке, обвиняемый внимательно изучил водительские права девушки, в которых указывалось, что на самом деле ей было 17 лет. Ответчик, тем не менее, совершил продажу, поскольку ошибочно полагал, что возраст совершеннолетия составляет 17 лет. Впоследствии ответчику было предъявлено обвинение в нарушении закона, и его ошибка была честно признана совершенной. Такая ошибка должна быть исправлена."
74,"15-летний мальчик был убит во время бандитской разборки. Через два дня после похорон мать мальчика посмотрела телевизионную передачу о бандитизме и была потрясена, увидев видео, на котором она плачет над телом мальчика. Видеозапись была снята командой телевизионных репортеров, когда тело мальчика все еще лежало на улице. Мать испытала сильное эмоциональное потрясение в результате просмотра видеозаписи. Если мать подаст в суд на телевизионную станцию за вторжение в ее личную жизнь и жизнь ее сына, сможет ли мать добиться своего?"
75,"В свой 21-й день рождения сын записался в армию. Когда он собирался уезжать на восьминедельную базовую подготовку, его отец сказал: ""Я куплю тебе новую машину по окончании базовой подготовки, если ты пообещаешь мне не принимать запрещенные наркотики и не употреблять алкоголь во время базовой подготовки.  Сын ответил: ""Вы можете заказать новую машину прямо сейчас. Я обещаю не принимать запрещенные наркотики и не употреблять алкоголь, как вы просили. ""По окончании базовой подготовки сыну был предоставлен отпуск, и он вернулся домой. Его отец спросил: ""Ты сдержал свое обещание не употреблять запрещенные наркотики и алкоголь?"" Сын ответил: ""Да, отец"".  Затем отец сказал сыну, что он уже заказал новую машину и что она будет готова к доставке в течение месяца. Неделю спустя сын получил трагическое известие о том, что его отец скоропостижно скончался. На похоронах управляющий имуществом отца сказал сыну, что он не считает себя обязанным дарить сыну недавно приобретенный автомобиль. В иске к управляющему имуществом отца о взыскании новой машины сын будет"
76,"Обвиняемый решил ограбить бар, потому что знал, что в баре теперь используется новая система безопасности, которая была неисправна, и что ночное время - лучшее время для взлома. Однажды поздно вечером обвиняемый вломился в бар и начал загружать большие кеги пива в свой грузовик. Уходя, обвиняемый по неосторожности выбросил окурок в мусорный бак за стойкой бара. Вскоре после этого мусор загорелся и превратился в небольшой пожар. Хотя у обвиняемого было время потушить огонь без какой-либо опасности для себя, он этого не сделал. Вместо этого он забрался в грузовик и уехал. Хотя огонь распространился за пределы мусорного бака, пожарные быстро отреагировали и смогли потушить его. Пол за баром был обуглен. Законодательство этой юрисдикции предусматривает наказание как за кражу со взломом, так и за поджог жилых зданий и коммерческих структур. За какое из перечисленных преступлений подсудимый должен быть признан виновным?"
77,"35-летний мужчина, имевший некоторый опыт работы водителем грузовика, владел лесовозом. Однажды этот мужчина выехал на своем грузовике, тяжело груженном пиломатериалами, на горную дорогу. Рядом с мужчиной на пассажирском сиденье сидел 19-летний помощник. Во время поездки, когда грузовик спускался с длинного холма, отказали тормоза. Мужчина крикнул помощнику, чтобы тот выпрыгнул, но подросток отказался это сделать и крикнул в ответ мужчине, что он должен попытаться направить грузовик вниз по склону. Затем мужчина открыл дверь грузовика со стороны пассажира и небрежно вытолкнул помощника наружу. Пострадавший, у которого была сломана нога, был срочно доставлен в больницу, где ему оказали медицинскую помощь. Когда пострадавший выздоравливал, медсестра по неосторожности перепутала его карту с картой пациентки, находившейся в соседней палате. Медсестра дала помощнику таблетку от бесплодия, которая сделала его бесплодным. Если помощник подаст в суд на мужчину, чтобы взыскать ущерб за его бесплодие, мужчина будет"
78,"Изобретательница разработала прототип автомобиля. двигатель, который, по ее мнению, должен был произвести революцию в автомобильной промышленности из-за его топливосберегающих свойств. В качестве свадебного подарка брату изобретателя изобретательница написала на свадебной открытке, которую она подарила своему брату: ""Настоящим я передаю тебе 20 процентов чистой прибыли, полученной от производства и сбыта моего автомобильного двигателя в течение первого года производства. Затем изобретательница заняла деньги у кредиторов и начала продвигать свой автомобильный двигатель. С ней связался крупный производитель автомобилей по поводу возможности использования двигателя в новой линейке автомобилей, которую производитель намеревался выпустить в течение следующего календарного года. Направляясь на встречу с представителями производителя, изобретательница погибла в результате столкновения автомобиля. Затем производитель заключил контракт с управляющим имуществом изобретателя на получение лицензии на использование конструкции автомобильного двигателя сроком на 10 лет за 500 000 долларов, подлежащих выплате в пользу имущества. Кредиторы, у которых изобретательница взяла взаймы деньги для продвижения своего автомобильного двигателя, теперь перечислили средства, полученные по лицензионному соглашению, которые к настоящему времени внесены в счет наследства. Брат также заявляет о своих правах на часть вырученных средств. В последующих исках кредиторов и брата суд, скорее всего, примет решение в пользу"
